time_ms,alt,ax,ay,az,temp
165989,1.0,0.081,-0.058,0.952,26.2
167245,1.2,0.082,-0.046,0.944,26.2
168501,1.0,0.064,-0.040,0.937,26.2
169757,1.0,0.065,-0.046,0.947,26.2
171013,1.0,0.061,-0.051,0.944,26.1
172269,1.1,0.076,-0.056,0.932,26.1
173525,1.1,0.066,-0.040,0.943,26.1
174781,1.2,0.076,-0.069,0.952,26.1
176037,1.1,0.081,-0.048,0.944,26.1
177293,1.2,0.074,-0.041,0.951,26.1
178549,1.1,0.060,-0.047,0.937,26.1
179805,1.3,0.060,-0.053,0.939,26.1
181063,1.2,0.067,-0.052,0.948,26.1
182320,1.3,0.063,-0.058,0.959,26.1
183577,1.1,0.072,-0.049,0.944,26.1
184834,1.1,0.065,-0.048,0.952,26.1
186091,0.9,0.072,-0.053,0.947,26.1
187348,1.2,0.061,-0.054,0.936,26.1
188605,0.8,0.068,-0.050,0.929,26.1
189862,1.1,0.073,-0.062,0.942,26.1
191119,0.7,0.067,-0.052,0.954,26.1
192376,1.0,0.072,-0.035,0.953,26.1
193633,0.9,0.071,-0.052,0.934,26.1
194890,0.8,0.072,-0.064,0.944,26.1
196147,0.8,0.063,-0.052,0.933,26.1
197404,0.9,0.075,-0.058,0.945,26.1
198663,0.9,0.072,-0.052,0.939,26.1
199920,0.9,0.074,-0.062,0.942,26.1
201177,0.6,0.058,-0.044,0.944,26.1
202434,0.9,0.067,-0.057,0.933,26.1
203691,1.1,0.068,-0.060,0.937,26.1
204948,0.9,0.090,-0.071,0.937,26.1
206205,0.7,0.069,-0.060,0.937,26.1
207462,1.0,0.079,-0.062,0.951,26.1
208719,0.7,0.066,-0.039,0.938,26.1
209976,0.7,0.062,-0.043,0.952,26.1
211233,0.9,0.078,-0.048,0.941,26.1
212490,0.8,0.064,-0.053,0.930,26.1
213747,1.0,0.055,-0.056,0.941,26.1
215004,0.7,0.069,-0.051,0.945,26.1
216261,1.0,0.067,-0.045,0.928,26.1
217520,0.9,0.076,-0.039,0.939,26.1
218777,0.9,0.065,-0.052,0.940,26.1
220034,1.0,0.073,-0.052,0.941,26.1
221291,0.6,0.063,-0.060,0.943,26.1
222548,0.6,0.072,-0.042,0.942,26.1
223805,0.9,0.068,-0.039,0.943,26.1
225062,1.2,0.071,-0.045,0.949,26.1
226319,1.0,0.085,-0.037,0.936,26.1
227576,0.8,0.070,-0.045,0.943,26.1
228833,1.1,0.077,-0.060,0.944,26.1
230090,0.9,0.074,-0.062,0.935,26.1
231347,1.1,0.073,-0.056,0.943,26.1
232604,0.7,0.079,-0.049,0.933,26.1
233861,1.0,0.082,-0.042,0.954,26.1
235120,0.9,0.078,-0.047,0.939,26.1
236377,0.5,0.067,-0.067,0.948,26.1
237634,0.9,0.064,-0.055,0.952,26.1
238891,1.1,0.065,-0.051,0.938,26.1
240148,1.1,0.067,-0.056,0.941,26.1
241405,1.1,0.065,-0.036,0.937,26.1
242662,0.7,0.071,-0.041,0.921,26.1
243919,1.0,0.066,-0.054,0.943,26.1
